rep,n,cvd_selected,cvd_rank,cvd_importance,pval_cvd,reject,topk_vars,error
48,20000,1,1.0,0.6474243245645285,2.068140812169641e-32,1,cvd_pre|Charlson|age|any_infect_pre|arf_renal_pre|smoker_copd_pre|dementia_pre|opiods_pre|mets_site_Bone|Abiraterone_prev,
54,20000,1,1.0,0.6574915850106785,1.6410906112340508e-35,1,cvd_pre|age|Charlson|arf_renal_pre|trt_prev_ARPI|mets_site_Other|opiods_pre|Abiraterone_prev|htn_pre|mets_site_Bone,
62,20000,1,1.0,0.6523358230495793,6.001015442215899e-33,1,cvd_pre|age|Charlson|bld_thinner_pre|dementia_pre|opiods_pre|trt_prev_ADT_only|arf_renal_pre|trt_prev_Other|smoker_copd_pre,
92,20000,1,1.0,0.6521119566779597,1.0370835580097866e-32,1,cvd_pre|age|Charlson|trt_prev_ADT_only|bld_thinner_pre|mets_site_Visceral|dementia_pre|smoker_copd_pre|anti_arr_pre|opiods_pre,
93,20000,1,1.0,0.6535269734094216,4.876071947884542e-44,1,cvd_pre|age|Charlson|dm_pre|race_cat|trt_prev_Other|dementia_pre|anti_diab_pre|opiods_pre|arf_renal_pre,
1,20000,1,1.0,0.6622566331241541,3.348854837907e-33,1,cvd_pre|age|Charlson|opiods_pre|dementia_pre|bld_thinner_pre|mets_site_Bone|smoker_copd_pre|trt_prev_ADT_only|anti_arr_pre,
9,20000,1,1.0,0.6528507636334038,5.398938540639622e-26,1,cvd_pre|age|Charlson|dementia_pre|bld_thinner_pre|arf_renal_pre|smoker_copd_pre|mets_site_Visceral|anti_arr_pre|any_infect_pre,
10,20000,1,1.0,0.6576698473618384,3.576294558935e-32,1,cvd_pre|Charlson|age|opiods_pre|any_infect_pre|anti_arr_pre|mets_site_Bone|trt_prev_ADT_only|arf_renal_pre|htn_pre,
22,20000,1,1.0,0.6521606016391375,2.3467470069375075e-33,1,cvd_pre|age|Charlson|smoker_copd_pre|dementia_pre|trt_prev_ARPI|anti_arr_pre|opiods_pre|bld_thinner_pre|trt_prev_ADT_only,
36,20000,1,1.0,0.6583167828073025,9.682246941203473e-36,1,cvd_pre|age|Charlson|dementia_pre|anti_arr_pre|htn_pre|Enzalutamide_prev|bld_thinner_pre|arf_renal_pre|mets_site_Visceral,
43,20000,1,1.0,0.6568086207435424,1.8084749824210056e-29,1,cvd_pre|age|Charlson|arf_renal_pre|smoker_copd_pre|anti_arr_pre|opiods_pre|dementia_pre|bld_thinner_pre|trt_prev_ADT_only,
