rep,n,cvd_rank,cvd_importance,pval_cvd,reject,error
27,500,15.0,0.0,0.015566533715388495,1,
27,1000,15.0,0.0,0.016148671067074644,1,
27,2000,7.0,0.0175609756097561,8.563776876422435e-05,1,
27,5000,1.0,0.5841124831408449,3.259042047934871e-08,1,
44,200,15.0,0.0,0.2918239392843587,0,
44,500,15.0,0.0,0.06511062041617346,0,
44,1000,15.0,0.0,0.0007952637521100913,1,
44,2000,16.0,0.0,0.08284085682299948,0,
44,5000,1.0,0.5061958311143524,4.987555869141355e-07,1,
55,200,15.0,0.0,0.9226702991905023,0,
55,500,15.0,0.0,0.04987841046296493,1,
55,1000,15.0,0.0,0.01163963026310369,1,
55,2000,6.0,0.018272550909601143,4.243353332946456e-07,1,
55,5000,1.0,0.5976445633614607,3.8308504876120784e-10,1,
57,200,15.0,0.0,0.0048194129806619634,1,
57,500,15.0,0.0,0.11545351553229313,0,
57,1000,15.0,0.0,5.001393903018873e-05,1,
57,2000,5.0,0.029502439024390245,0.0801052130278196,0,
57,5000,1.0,0.5200410395377812,7.994412506395125e-07,1,
83,200,15.0,0.0,0.07037777460538171,0,
83,500,15.0,0.0,0.5259411905285405,0,
83,1000,15.0,0.0,0.03595669123579307,1,
83,2000,9.0,0.0038634146341463413,2.3529059934762369e-07,1,
83,5000,1.0,0.5664139225772088,1.5848148847786043e-09,1,
84,200,15.0,0.0,0.7238223592762185,0,
84,500,15.0,0.0,0.09263796742023576,0,
84,1000,15.0,0.0,0.25560035754259075,0,
84,2000,9.0,0.013697560975609755,0.0008487858026048524,1,
84,5000,1.0,0.6243966173059612,1.8370231771068648e-10,1,
89,200,15.0,0.0,0.5401102799118443,0,
89,500,15.0,0.0,0.031189877135394808,1,
89,1000,15.0,0.0,0.0391473127166959,1,
89,2000,7.0,0.007024390243902439,0.0018021003557062158,1,
89,5000,1.0,0.46542783343877603,4.4673618749479405e-05,1,
3,200,15.0,0.0,0.3463184417505696,0,
3,500,15.0,0.0,0.17203975738060887,0,
3,1000,15.0,0.0,0.06916908884935338,0,
3,2000,9.0,0.010536585365853657,2.785394970694366e-07,1,
3,5000,1.0,0.5883181543951619,3.9473206787709815e-10,1,
7,200,15.0,0.0,0.4877287576209397,0,
7,500,15.0,0.0,0.22514381529552227,0,
7,1000,15.0,0.0,0.020648810960838072,1,
7,2000,7.0,0.03266341463414634,0.0001714766611404664,1,
7,5000,1.0,0.4685045744199715,7.199582234220766e-07,1,
51,200,15.0,0.0,0.517391880995509,0,
51,500,15.0,0.0,0.010797105314853114,1,
51,1000,15.0,0.0,0.08250224256225813,0,
51,2000,8.0,0.004214634146341463,0.005722253909686307,1,
51,5000,1.0,0.5821488359974539,6.739627393997445e-11,1,
58,200,15.0,0.0,0.8972075669944852,0,
58,500,15.0,0.0,0.3330120355626126,0,
58,1000,15.0,0.0,0.22518637507874925,0,
58,2000,8.0,0.011941463414634148,4.860455985783635e-05,1,
58,5000,1.0,0.5938084802049558,4.14168730020598e-08,1,
70,200,15.0,0.0,0.10252186859631984,0,
70,500,15.0,0.0,0.0013043385436102518,1,
70,1000,15.0,0.0,0.0012533196110410742,1,
70,2000,3.0,0.0463609756097561,6.162856521800376e-07,1,
70,5000,1.0,0.5470861555164755,4.7972089192849675e-08,1,
78,200,15.0,0.0,0.20397966110646884,0,
78,500,15.0,0.0,0.05098906959971562,0,
78,1000,15.0,0.0,0.04802429901046672,1,
78,2000,10.0,0.0028097560975609754,2.5898599194603895e-05,1,
78,5000,1.0,0.6040925031476976,3.516272639288401e-10,1,
86,200,15.0,0.0,0.5119561868283578,0,
86,500,15.0,0.0,0.002197426898720336,1,
86,1000,15.0,0.0,0.30176119904847487,0,
86,2000,8.0,0.01967813174880123,9.295875802823367e-09,1,
86,5000,1.0,0.6308790816110191,7.851704104378311e-10,1,
12,200,15.0,0.0,0.8880358459749551,0,
12,500,15.0,0.0,0.41174897853454095,0,
12,1000,15.0,0.0,0.037801311290723935,1,
12,2000,8.0,0.007730694615600483,0.0014930038490750988,1,
12,5000,1.0,0.5663668745653809,1.1822688227632659e-07,1,
19,200,15.0,0.0,0.0015256417483685255,1,
19,500,15.0,0.0,7.172723293080417e-05,1,
19,1000,15.0,0.0,0.026573019164668775,1,
19,2000,9.0,0.0049170731707317075,7.310252346096115e-05,1,
19,5000,1.0,0.6259405594720399,1.6650990424358555e-12,1,
23,200,15.0,0.0,0.7131864544496888,0,
23,500,15.0,0.0,0.02597040618818353,1,
23,1000,15.0,0.0,0.18556647106062552,0,
23,2000,4.0,0.051629268292682926,1.9825331056183482e-06,1,
23,5000,1.0,0.5990510668750034,6.52502082715992e-11,1,
25,200,15.0,0.0,0.9251834077731753,0,
25,500,15.0,0.0,0.00478548540419886,1,
25,1000,15.0,0.0,0.027673675344061188,1,
25,2000,8.0,0.008082089825400506,0.0006917948027598204,1,
25,5000,1.0,0.5934310601340708,6.63298884882815e-08,1,
29,200,15.0,0.0,0.10374424386850252,0,
29,500,15.0,0.0,0.7515988210741724,0,
29,1000,15.0,0.0,0.0959819912759618,0,
29,2000,10.0,0.01089325150380068,0.008561625408795825,1,
29,5000,1.0,0.6203030936712501,1.3653584695165558e-12,1,
33,200,15.0,0.0,0.4948740707737428,0,
33,500,15.0,0.0,0.0014832242072736499,1,
33,1000,15.0,0.0,0.6183926558189027,0,
33,2000,10.0,0.0017560975609756098,5.379941982414592e-05,1,
33,5000,1.0,0.568010367412994,7.5022805750607e-09,1,
34,200,15.0,0.0,0.005923740484918674,1,
34,500,15.0,0.0,0.3247737346363797,0,
34,1000,15.0,0.0,0.016638218764871884,1,
34,2000,5.0,0.031609756097560976,1.615054820549566e-05,1,
34,5000,1.0,0.44501430113163337,6.067432174636565e-06,1,
48,200,15.0,0.0,0.8775242885864141,0,
48,500,15.0,0.0,0.9332001555926424,0,
48,1000,15.0,0.0,0.07335597815707777,0,
48,2000,10.0,0.0021073170731707317,0.09761427221947477,0,
48,5000,1.0,0.5953038807496585,9.542677396599755e-11,1,
54,200,15.0,0.0,0.5935579697516356,0,
54,500,15.0,0.0,0.04703542232348196,1,
54,1000,15.0,0.0,0.21329805142888741,0,
54,2000,8.0,0.004565853658536585,1.3993242358453154e-05,1,
54,5000,1.0,0.6261472694407876,2.3689471331157593e-11,1,
62,200,15.0,0.0,0.004929959084670971,1,
62,500,15.0,0.0,0.6552126784059132,0,
62,1000,15.0,0.0,0.08803782786861108,0,
62,2000,9.0,0.005622323356800351,0.00021193571397795538,1,
62,5000,1.0,0.6314372881215594,1.4097775975983236e-10,1,
92,200,15.0,0.0,0.6213596390831977,0,
92,500,15.0,0.0,0.008227211334861892,1,
92,1000,15.0,0.0,0.0020270622781560802,1,
92,2000,8.0,0.0049170731707317075,5.163163428015893e-05,1,
92,5000,1.0,0.3422754291930398,0.0006978989237783258,1,
93,200,15.0,0.0,0.1675527587515604,0,
93,500,15.0,0.0,0.016543507988640176,1,
